availability_id,has_availability,availability_30,availability_60,availability_90,availability_365
9209,t,30,60,90,365
9210,t,0,0,0,0
9211,t,19,19,22,65
9212,t,20,44,74,349
9213,f,0,0,0,0
9214,t,0,0,15,44
9215,f,0,0,0,0
9216,f,0,0,0,0
9217,t,9,22,49,311
9218,f,0,0,0,0
9219,t,4,13,37,121
9220,t,14,37,66,156
9221,t,15,44,74,164
9222,t,9,11,12,102
9223,f,0,0,0,0
9224,t,0,0,0,0
9225,t,16,31,57,133
9226,t,6,8,29,294
9227,t,16,41,71,346
9228,t,9,21,51,326
9229,t,6,8,8,9
9230,f,0,0,0,0
9231,t,1,29,59,334
9232,t,0,9,39,314
9233,t,18,48,78,353
9234,t,0,0,0,217
9235,t,21,51,81,356
9236,t,0,0,0,0
9237,t,0,0,0,0
9238,t,13,13,34,309
9239,t,1,1,7,91
9240,t,14,30,58,316
9241,t,0,1,27,27
9242,t,23,53,83,358
9243,t,0,4,13,236
9244,t,0,0,0,79
9245,t,0,0,0,0
9246,f,0,0,0,0
9247,t,28,58,88,363
9248,f,0,0,0,0
9249,t,30,60,7,168
9250,t,0,0,0,0
9251,t,0,0,0,0
9252,t,11,35,65,340
9253,t,0,1,16,16
9254,t,11,23,43,180
9255,t,27,57,87,87
9256,t,30,60,90,90
9257,f,0,0,0,0
9258,t,6,27,57,332
9259,t,0,0,5,5
9260,t,0,0,0,77
9261,t,2,7,24,114
9262,f,0,0,0,0
9263,t,0,0,0,0
9264,t,6,36,66,151
9265,t,2,2,2,2
9266,t,0,0,17,291
9267,t,3,9,39,39
9268,t,0,0,0,5
9269,t,0,0,0,0
9270,t,0,0,0,250
9271,f,0,0,0,0
9272,t,5,18,31,118
9273,t,28,58,88,88
9274,t,0,0,0,0
9275,t,0,5,17,270
9276,t,22,52,82,357
9277,t,0,7,28,28
9278,f,0,0,0,0
9279,f,0,0,0,0
9280,t,4,13,43,43
9281,f,0,0,0,0
9282,t,9,30,59,59
9283,t,12,36,61,118
9284,t,0,1,31,121
9285,t,0,0,0,58
9286,t,28,58,88,320
9287,t,30,60,90,365
9288,f,0,0,0,0
9289,t,0,0,0,262
9290,t,0,26,56,331
9291,t,29,59,89,359
9292,t,0,0,0,1
9293,t,0,0,90,0
9294,t,13,26,26,263
9295,t,0,0,0,0
9296,t,6,36,66,66
9297,t,0,0,0,32
9298,t,26,56,86,361
9299,t,0,0,5,95
9300,t,0,0,0,0
9301,t,4,13,43,318
9302,t,30,60,90,365
9303,t,4,4,4,4
9304,t,13,37,62,124
9305,t,2,2,18,165
9306,t,0,0,0,3
9307,t,0,0,0,0
9308,t,0,0,0,0
9309,t,0,0,0,70
9310,t,1,11,41,214
9311,t,15,45,75,350
9312,t,30,60,4,4
9313,t,30,60,90,90
9314,t,0,0,0,190
9315,t,0,0,0,0
9316,t,0,1,31,211
9317,t,4,7,13,237
9318,t,5,27,57,332
9319,f,0,0,0,0
9320,t,7,34,64,339
9321,f,0,0,0,0
9322,t,25,31,55,330
9323,t,0,0,0,262
9324,t,0,0,0,218
9325,f,0,0,0,0
9326,t,30,60,90,365
9327,t,0,0,0,0
9328,t,7,16,35,65
9329,t,3,14,29,107
9330,f,0,0,0,0
9331,f,0,0,0,0
9332,t,3,9,28,286
9333,t,0,0,0,68
9334,t,0,0,0,0
9335,f,0,0,0,0
9336,t,0,0,5,280
9337,t,11,39,64,64
9338,t,0,0,0,0
9339,t,0,0,18,30
