id,neighbourhood_cleansed,neighbourhood_group
929,Hell's Kitchen,Manhattan
930,Hell's Kitchen,Manhattan
931,Bedford-Stuyvesant,Brooklyn
932,Astoria,Queens
933,West Village,Manhattan
934,Bedford-Stuyvesant,Brooklyn
935,Flatbush,Brooklyn
936,Crown Heights,Brooklyn
937,East Village,Manhattan
938,Cambria Heights,Queens
939,East Village,Manhattan
940,Bedford-Stuyvesant,Brooklyn
941,Fort Greene,Brooklyn
942,Astoria,Queens
943,Chinatown,Manhattan
944,Randall Manor,Staten Island
945,Park Slope,Brooklyn
946,Hell's Kitchen,Manhattan
947,East Harlem,Manhattan
948,Morrisania,Bronx
949,Upper West Side,Manhattan
950,NoHo,Manhattan
951,Tribeca,Manhattan
952,Prospect-Lefferts Gardens,Brooklyn
953,Bedford-Stuyvesant,Brooklyn
954,Queens,Queens
955,Upper East Side,Manhattan
956,Long Island City,Queens
957,Upper East Side,Manhattan
958,East Harlem,Manhattan
959,Boerum Hill,Brooklyn
960,Nolita,Manhattan
961,Harlem,Manhattan
962,Concourse Village,Bronx
963,Financial District,Manhattan
964,Jamaica,Queens
965,Chinatown,Manhattan
966,Astoria,Queens
967,Crown Heights,Brooklyn
968,Midtown,Manhattan
969,Williamsburg,Brooklyn
970,Brooklyn Heights,Brooklyn
971,Sunnyside,Queens
972,Crown Heights,Brooklyn
973,Elmhurst,Queens
974,Bushwick,Brooklyn
975,Ridgewood,Queens
976,Hell's Kitchen,Manhattan
977,Flushing,Queens
978,Sunnyside,Queens
979,Prospect-Lefferts Gardens,Brooklyn
980,Chinatown,Manhattan
981,West Village,Manhattan
982,Bushwick,Brooklyn
983,Bushwick,Brooklyn
984,Hell's Kitchen,Manhattan
985,East Flatbush,Brooklyn
986,Morris Park,Bronx
987,Fort Greene,Brooklyn
988,Upper East Side,Manhattan
989,Ditmars Steinway,Queens
990,Midtown,Manhattan
991,Fort Greene,Brooklyn
992,East Elmhurst,Queens
993,Bedford-Stuyvesant,Brooklyn
994,Upper West Side,Manhattan
995,Lower East Side,Manhattan
996,Windsor Terrace,Brooklyn
997,Jamaica,Queens
998,Middle Village,Queens
999,Flatbush,Brooklyn
1000,Clason Point,Bronx
1001,Hell's Kitchen,Manhattan
1002,Queens,Queens
1003,Central Park,Manhattan
1004,Astoria,Queens
1005,Williamsbridge,Bronx
1006,Hell's Kitchen,Manhattan
1007,Forest Park,Queens
1008,Astoria,Queens
1009,Hell's Kitchen,Manhattan
1010,Chinatown,Manhattan
1011,East Village,Manhattan
1012,East Elmhurst,Queens
1013,Jamaica,Queens
1014,Upper East Side,Manhattan
1015,Midtown,Manhattan
1016,Woodside,Queens
1017,Williamsburg,Brooklyn
1018,Upper West Side,Manhattan
1019,Lower East Side,Manhattan
1020,Chelsea,Manhattan
1021,Canarsie,Brooklyn
1022,Bedford-Stuyvesant,Brooklyn
1023,Murray Hill,Manhattan
1024,Upper West Side,Manhattan
1025,Prospect-Lefferts Gardens,Brooklyn
1026,Bedford-Stuyvesant,Brooklyn
1027,Flushing,Queens
1028,West Village,Manhattan
1029,Bayside,Queens
1030,Midtown,Manhattan
1031,Nolita,Manhattan
1032,East New York,Brooklyn
1033,Upper West Side,Manhattan
1034,Flatiron District,Manhattan
1035,East New York,Brooklyn
1036,Rosedale,Queens
1037,Ridgewood,Queens
1038,Middle Village,Queens
1039,Harlem,Manhattan
1040,Financial District,Manhattan
1041,Williamsburg,Brooklyn
1042,Astoria,Queens
1043,Allerton,Bronx
1044,Harlem,Manhattan
1045,Lower East Side,Manhattan
1046,Hell's Kitchen,Manhattan
1047,West Village,Manhattan
1048,Hell's Kitchen,Manhattan
1049,Greenpoint,Brooklyn
1050,Prospect-Lefferts Gardens,Brooklyn
1051,East Elmhurst,Queens
1052,Flatbush,Brooklyn
1053,Laurelton,Queens
1054,Midtown,Manhattan
1055,Woodhaven,Queens
1056,Harlem,Manhattan
1057,Battery Park City,Manhattan
1058,East Harlem,Manhattan
1059,Midtown,Manhattan
1060,Elmhurst,Queens
1061,Harlem,Manhattan
1062,Kew Gardens,Queens
1063,Sunset Park,Brooklyn
1064,Midtown,Manhattan
1065,Bedford-Stuyvesant,Brooklyn
1066,East Flatbush,Brooklyn
1067,Lower East Side,Manhattan
1068,Midwood,Brooklyn
1069,South Slope,Brooklyn
1070,Woodside,Queens
1071,Midtown,Manhattan
1072,Forest Hills,Queens
1073,Prospect-Lefferts Gardens,Brooklyn
1074,Tribeca,Manhattan
1075,Greenpoint,Brooklyn
1076,Harlem,Manhattan
1077,Bedford-Stuyvesant,Brooklyn
1078,Washington Heights,Manhattan
1079,Bedford-Stuyvesant,Brooklyn
1080,Williamsburg,Brooklyn
1081,Harlem,Manhattan
1082,Williamsburg,Brooklyn
1083,Crown Heights,Brooklyn
1084,South Slope,Brooklyn
1085,Bedford-Stuyvesant,Brooklyn
1086,Bedford-Stuyvesant,Brooklyn
1087,Williamsburg,Brooklyn
1088,Theater District,Manhattan
1089,Hell's Kitchen,Manhattan
1090,Bay Ridge,Brooklyn
1091,Washington Heights,Manhattan
1092,Financial District,Manhattan
1093,Park Slope,Brooklyn
1094,Murray Hill,Manhattan
1095,Randall Manor,Staten Island
1096,Chelsea,Manhattan
1097,East Village,Manhattan
1098,Williamsburg,Brooklyn
1099,Nolita,Manhattan
1100,Greenwich Village,Manhattan
1101,Sheepshead Bay,Brooklyn
1102,Bedford-Stuyvesant,Brooklyn
1103,Crown Heights,Brooklyn
1104,Jamaica Hills,Queens
1105,North Riverdale,Bronx
1106,Williamsburg,Brooklyn
1107,Bedford-Stuyvesant,Brooklyn
1108,Upper East Side,Manhattan
1109,Queens,Queens
1110,Clinton Hill,Brooklyn
1111,Flushing,Queens
1112,Upper East Side,Manhattan
1113,Bedford-Stuyvesant,Brooklyn
1114,Upper East Side,Manhattan
1115,Crown Heights,Brooklyn
1116,Bedford-Stuyvesant,Brooklyn
1117,Chelsea,Manhattan
1118,Jamaica,Queens
1119,Ridgewood,Queens
1120,Williamsburg,Brooklyn
1121,Financial District,Manhattan
1122,Williamsburg,Brooklyn
1123,Crown Heights,Brooklyn
1124,Woodside,Queens
1125,South Ozone Park,Queens
1126,Upper West Side,Manhattan
1127,Lower East Side,Manhattan
1128,Flushing,Queens
1129,Upper East Side,Manhattan
1130,Bedford-Stuyvesant,Brooklyn
1131,Bedford-Stuyvesant,Brooklyn
1132,East New York,Brooklyn
1133,Chelsea,Manhattan
1134,Ozone Park,Queens
1135,Flatbush,Brooklyn
1136,Chelsea,Manhattan
1137,Astoria,Queens
1138,Tremont,Bronx
1139,Upper West Side,Manhattan
1140,Jamaica,Queens
1141,Murray Hill,Manhattan
1142,Fort Greene,Brooklyn
1143,Central Park,Manhattan
1144,Lower East Side,Manhattan
1145,Morningside Heights,Manhattan
1146,Murray Hill,Manhattan
1147,Gowanus,Brooklyn
1148,East Village,Manhattan
1149,Gramercy,Manhattan
1150,Upper West Side,Manhattan
1151,East Harlem,Manhattan
1152,Greenpoint,Brooklyn
1153,Green-Wood Cemetery,Brooklyn
1154,Greenpoint,Brooklyn
1155,Greenwich Village,Manhattan
1156,Financial District,Manhattan
1157,Williamsburg,Brooklyn
1158,Belmont,Bronx
1159,Astoria,Queens
1160,Fort Greene,Brooklyn
1161,Upper East Side,Manhattan
1162,Harlem,Manhattan
1163,Crown Heights,Brooklyn
1164,Cambria Heights,Queens
1165,Baychester,Bronx
1166,Roosevelt Island,Manhattan
1167,Williamsburg,Brooklyn
1168,East New York,Brooklyn
1169,Bedford-Stuyvesant,Brooklyn
1170,Williamsburg,Brooklyn
1171,Washington Heights,Manhattan
1172,Bedford-Stuyvesant,Brooklyn
1173,Nolita,Manhattan
1174,Borough Park,Brooklyn
1175,Bedford-Stuyvesant,Brooklyn
1176,Lower East Side,Manhattan
1177,Bedford-Stuyvesant,Brooklyn
1178,Woodside,Queens
1179,Ridgewood,Queens
1180,Kips Bay,Manhattan
1181,Prospect Heights,Brooklyn
1182,Williamsburg,Brooklyn
1183,Lower East Side,Manhattan
1184,Williamsburg,Brooklyn
1185,Crown Heights,Brooklyn
1186,Greenpoint,Brooklyn
1187,Tribeca,Manhattan
1188,Upper East Side,Manhattan
1189,Crown Heights,Brooklyn
1190,Hell's Kitchen,Manhattan
1191,Harlem,Manhattan
1192,Hell's Kitchen,Manhattan
1193,Lower East Side,Manhattan
1194,Bedford-Stuyvesant,Brooklyn
1195,Prospect-Lefferts Gardens,Brooklyn
1196,Bedford-Stuyvesant,Brooklyn
1197,Sunset Park,Brooklyn
1198,Williamsburg,Brooklyn
1199,Bushwick,Brooklyn
1200,Long Island City,Queens
1201,Bedford-Stuyvesant,Brooklyn
1202,Williamsburg,Brooklyn
1203,Hell's Kitchen,Manhattan
1204,East Flatbush,Brooklyn
1205,Springfield Gardens,Queens
1206,Harlem,Manhattan
1207,Upper West Side,Manhattan
1208,Canarsie,Brooklyn
1209,Bedford-Stuyvesant,Brooklyn
1210,Williamsburg,Brooklyn
1211,Kensington,Brooklyn
1212,Cypress Hills,Brooklyn
1213,Midtown,Manhattan
1214,Chelsea,Manhattan
1215,Howland Hook,Staten Island
1216,Greenpoint,Brooklyn
1217,Midtown,Manhattan
1218,Ditmars Steinway,Queens
1219,Williamsburg,Brooklyn
1220,Upper East Side,Manhattan
1221,East Flatbush,Brooklyn
1222,Chinatown,Manhattan
1223,East Village,Manhattan
1224,Crown Heights,Brooklyn
1225,Prospect-Lefferts Gardens,Brooklyn
1226,Bedford-Stuyvesant,Brooklyn
1227,Hell's Kitchen,Manhattan
1228,Nolita,Manhattan
1229,Bushwick,Brooklyn
1230,Kingsbridge,Bronx
1231,East Harlem,Manhattan
1232,Upper East Side,Manhattan
1233,SoHo,Manhattan
1234,Harlem,Manhattan
1235,Williamsburg,Brooklyn
1236,Bedford-Stuyvesant,Brooklyn
1237,Midtown,Manhattan
1238,Financial District,Manhattan
1239,Murray Hill,Manhattan
1240,Upper East Side,Manhattan
1241,Harlem,Manhattan
1242,Richmond Hill,Queens
1243,Long Island City,Queens
1244,Belmont,Bronx
1245,Midtown,Manhattan
1246,Flatbush,Brooklyn
1247,Harlem,Manhattan
1248,Rockaway Park,Queens
1249,Lower East Side,Manhattan
1250,Chelsea,Manhattan
1251,Hell's Kitchen,Manhattan
1252,East Elmhurst,Queens
1253,Hell's Kitchen,Manhattan
1254,East Village,Manhattan
1255,Sheepshead Bay,Brooklyn
1256,Wakefield,Bronx
1257,Flatbush,Brooklyn
1258,Washington Heights,Manhattan
1259,North Riverdale,Bronx
1260,Coney Island,Brooklyn
1261,East Village,Manhattan
1262,Bedford-Stuyvesant,Brooklyn
1263,East Harlem,Manhattan
1264,Morris Park,Bronx
1265,Prospect-Lefferts Gardens,Brooklyn
1266,Midtown,Manhattan
1267,Central Park,Manhattan
1268,East New York,Brooklyn
1269,Elmhurst,Queens
1270,Queens,Queens
1271,Midtown,Manhattan
1272,Williamsburg,Brooklyn
1273,Hell's Kitchen,Manhattan
1274,Elmhurst,Queens
1275,Bushwick,Brooklyn
1276,Bushwick,Brooklyn
1277,Wakefield,Bronx
1278,Williamsburg,Brooklyn
1279,Fort Greene,Brooklyn
1280,Morrisania,Bronx
1281,Laurelton,Queens
1282,University Heights,Bronx
1283,South Slope,Brooklyn
1284,Crown Heights,Brooklyn
1285,Little Italy,Manhattan
1286,Parkchester,Bronx
1287,Prospect Heights,Brooklyn
1288,Bushwick,Brooklyn
1289,Gramercy,Manhattan
1290,Flushing,Queens
1291,Washington Heights,Manhattan
1292,Brownsville,Brooklyn
1293,Upper East Side,Manhattan
1294,Lower East Side,Manhattan
1295,West Village,Manhattan
1296,Midtown,Manhattan
1297,Astoria,Queens
1298,East New York,Brooklyn
1299,Harlem,Manhattan
1300,East Harlem,Manhattan
1301,East Harlem,Manhattan
1302,Bedford-Stuyvesant,Brooklyn
1303,Upper West Side,Manhattan
1304,Midtown,Manhattan
1305,Gerritsen Beach,Brooklyn
1306,Midtown,Manhattan
1307,Nolita,Manhattan
1308,Flatiron District,Manhattan
1309,Sheepshead Bay,Brooklyn
1310,Kips Bay,Manhattan
1311,Flushing,Queens
1312,Williamsburg,Brooklyn
1313,Midtown,Manhattan
1314,Bushwick,Brooklyn
1315,Bedford-Stuyvesant,Brooklyn
1316,Midtown,Manhattan
1317,West Village,Manhattan
1318,Midtown,Manhattan
1319,Williamsburg,Brooklyn
1320,SoHo,Manhattan
1321,Mount Eden,Bronx
1322,Bedford-Stuyvesant,Brooklyn
1323,South Slope,Brooklyn
1324,Fordham,Bronx
1325,Williamsburg,Brooklyn
1326,Bedford-Stuyvesant,Brooklyn
1327,Upper West Side,Manhattan
1328,Canarsie,Brooklyn
1329,Bushwick,Brooklyn
1330,Midtown,Manhattan
1331,Pelham Gardens,Bronx
1332,Crown Heights,Brooklyn
1333,Bedford-Stuyvesant,Brooklyn
1334,Midtown,Manhattan
1335,Harlem,Manhattan
1336,Fort Greene,Brooklyn
1337,Eastchester,Bronx
1338,Jamaica,Queens
1339,Ridgewood,Queens
1340,East Village,Manhattan
1341,Williamsburg,Brooklyn
1342,East Harlem,Manhattan
1343,Bath Beach,Brooklyn
1344,Chelsea,Manhattan
1345,Central Park,Manhattan
1346,Upper West Side,Manhattan
1347,Gramercy,Manhattan
1348,Bedford-Stuyvesant,Brooklyn
1349,Bedford-Stuyvesant,Brooklyn
1350,Bushwick,Brooklyn
1351,Upper East Side,Manhattan
1352,Upper East Side,Manhattan
1353,Astoria,Queens
1354,East Harlem,Manhattan
1355,Red Hook,Brooklyn
1356,Chelsea,Manhattan
1357,Hell's Kitchen,Manhattan
1358,Bedford-Stuyvesant,Brooklyn
1359,Fort Greene,Brooklyn
1360,Boerum Hill,Brooklyn
1361,South Ozone Park,Queens
1362,East Harlem,Manhattan
1363,Bedford-Stuyvesant,Brooklyn
1364,Crown Heights,Brooklyn
1365,Crown Heights,Brooklyn
1366,Ellis Island,Manhattan
1367,Lower East Side,Manhattan
1368,Washington Heights,Manhattan
1369,East Village,Manhattan
1370,Williamsburg,Brooklyn
1371,Prospect-Lefferts Gardens,Brooklyn
1372,Woodside,Queens
1373,Upper West Side,Manhattan
1374,East Flatbush,Brooklyn
1375,East Village,Manhattan
1376,University Heights,Bronx
1377,Crown Heights,Brooklyn
1378,Financial District,Manhattan
1379,Upper East Side,Manhattan
1380,Flatbush,Brooklyn
1381,East Harlem,Manhattan
1382,Financial District,Manhattan
1383,Sunnyside,Queens
1384,Financial District,Manhattan
1385,Upper West Side,Manhattan
1386,Brighton Beach,Brooklyn
1387,Midtown,Manhattan
1388,Lower East Side,Manhattan
1389,Upper East Side,Manhattan
1390,Murray Hill,Manhattan
1391,East Flatbush,Brooklyn
1392,Upper West Side,Manhattan
1393,Cambria Heights,Queens
1394,Upper West Side,Manhattan
1395,Crown Heights,Brooklyn
1396,Harlem,Manhattan
1397,Longwood,Bronx
1398,Upper West Side,Manhattan
1399,Canarsie,Brooklyn
1400,Brownsville,Brooklyn
1401,Midtown,Manhattan
1402,Washington Heights,Manhattan
1403,Upper East Side,Manhattan
1404,Bedford-Stuyvesant,Brooklyn
1405,Upper West Side,Manhattan
1406,Clinton Hill,Brooklyn
1407,Morris Park,Bronx
1408,East Elmhurst,Queens
1409,Fort Hamilton,Brooklyn
1410,Upper East Side,Manhattan
1411,Greenpoint,Brooklyn
1412,Greenwich Village,Manhattan
1413,Jamaica,Queens
1414,Chinatown,Manhattan
1415,West Village,Manhattan
1416,Van Cortlandt Park,Bronx
1417,Morris Heights,Bronx
1418,Edenwald,Bronx
1419,Lower East Side,Manhattan
1420,East Harlem,Manhattan
1421,Ditmars Steinway,Queens
1422,Bushwick,Brooklyn
1423,Tribeca,Manhattan
1424,Upper West Side,Manhattan
1425,Williamsburg,Brooklyn
1426,Midtown,Manhattan
1427,Hell's Kitchen,Manhattan
1428,Bushwick,Brooklyn
1429,Brooklyn,Brooklyn
1430,Bedford-Stuyvesant,Brooklyn
1431,Williamsburg,Brooklyn
1432,Hollis,Queens
1433,Financial District,Manhattan
1434,Rosedale,Queens
1435,Tribeca,Manhattan
1436,Arverne,Queens
1437,East Village,Manhattan
1438,SoHo,Manhattan
1439,Theater District,Manhattan
1440,Bushwick,Brooklyn
1441,Fort Greene,Brooklyn
1442,Upper East Side,Manhattan
1443,Kips Bay,Manhattan
1444,Bedford-Stuyvesant,Brooklyn
1445,Upper East Side,Manhattan
1446,Midtown,Manhattan
1447,Cypress Hills,Brooklyn
1448,Crown Heights,Brooklyn
1449,Astoria,Queens
1450,Kips Bay,Manhattan
1451,Crown Heights,Brooklyn
1452,Financial District,Manhattan
1453,Park Slope,Brooklyn
1454,West Village,Manhattan
1455,Douglaston,Queens
1456,Midtown,Manhattan
1457,Borough Park,Brooklyn
1458,Financial District,Manhattan
1459,Upper East Side,Manhattan
1460,Financial District,Manhattan
1461,Richmond Hill,Queens
1462,West Village,Manhattan
1463,Williamsburg,Brooklyn
1464,Williamsburg,Brooklyn
1465,Bedford-Stuyvesant,Brooklyn
1466,Chelsea,Manhattan
1467,Harlem,Manhattan
1468,Harlem,Manhattan
1469,Jamaica,Queens
1470,East Village,Manhattan
1471,East Harlem,Manhattan
1472,Bay Ridge,Brooklyn
1473,Midtown,Manhattan
1474,Greenpoint,Brooklyn
1475,East Village,Manhattan
1476,Springfield Gardens,Queens
1477,Flatbush,Brooklyn
1478,Hell's Kitchen,Manhattan
1479,Nolita,Manhattan
1480,Hell's Kitchen,Manhattan
1481,East Village,Manhattan
1482,Battery Park City,Manhattan
1483,Throgs Neck,Bronx
1484,East Flatbush,Brooklyn
1485,Financial District,Manhattan
1486,Bedford-Stuyvesant,Brooklyn
1487,Downtown Brooklyn,Brooklyn
1488,Chelsea,Manhattan
1489,Crown Heights,Brooklyn
1490,Elmhurst,Queens
1491,Crown Heights,Brooklyn
1492,Queens Village,Queens
1493,Bedford-Stuyvesant,Brooklyn
1494,Williamsburg,Brooklyn
1495,East New York,Brooklyn
1496,Chelsea,Manhattan
1497,Upper West Side,Manhattan
1498,Washington Heights,Manhattan
1499,Sunset Park,Brooklyn
1500,Far Rockaway,Queens
1501,Greenpoint,Brooklyn
1502,Chelsea,Manhattan
1503,Bedford-Stuyvesant,Brooklyn
1504,Hell's Kitchen,Manhattan
1505,Williamsburg,Brooklyn
1506,Williamsburg,Brooklyn
1507,Midtown,Manhattan
1508,Upper East Side,Manhattan
1509,Financial District,Manhattan
1510,Boerum Hill,Brooklyn
1511,Theater District,Manhattan
1512,Chinatown,Manhattan
1513,Greenpoint,Brooklyn
1514,Brooklyn,Brooklyn
1515,Flatbush,Brooklyn
1516,Ozone Park,Queens
1517,Clinton Hill,Brooklyn
1518,Greenpoint,Brooklyn
1519,Inwood,Manhattan
1520,Bedford-Stuyvesant,Brooklyn
1521,Flatbush,Brooklyn
1522,Williamsburg,Brooklyn
1523,Financial District,Manhattan
1524,Lower East Side,Manhattan
1525,Midtown,Manhattan
1526,Clinton Hill,Brooklyn
1527,Woodside,Queens
1528,Williamsburg,Brooklyn
1529,Hell's Kitchen,Manhattan
1530,Upper West Side,Manhattan
1531,Civic Center,Manhattan
1532,Bushwick,Brooklyn
1533,Bushwick,Brooklyn
1534,Sunnyside,Queens
1535,Bedford-Stuyvesant,Brooklyn
1536,Midtown,Manhattan
1537,Woodside,Queens
1538,Harlem,Manhattan
1539,Bayside,Queens
1540,Ditmars Steinway,Queens
1541,Bushwick,Brooklyn
1542,Upper East Side,Manhattan
1543,Concourse,Bronx
1544,Lower East Side,Manhattan
1545,Eastchester,Bronx
1546,Upper West Side,Manhattan
1547,Upper West Side,Manhattan
1548,Upper East Side,Manhattan
1549,Port Morris,Bronx
1550,Hell's Kitchen,Manhattan
1551,Bedford-Stuyvesant,Brooklyn
1552,Hell's Kitchen,Manhattan
1553,Upper East Side,Manhattan
1554,Crown Heights,Brooklyn
1555,Cypress Hills,Brooklyn
1556,Astoria,Queens
1557,Hell's Kitchen,Manhattan
1558,Sheepshead Bay,Brooklyn
1559,Upper West Side,Manhattan
1560,Murray Hill,Manhattan
1561,Williamsburg,Brooklyn
1562,Bushwick,Brooklyn
1563,Midtown,Manhattan
1564,Lower East Side,Manhattan
1565,Central Park,Manhattan
1566,East Village,Manhattan
1567,Flatbush,Brooklyn
1568,East Village,Manhattan
1569,Williamsburg,Brooklyn
1570,Midwood,Brooklyn
1571,Chelsea,Manhattan
1572,Financial District,Manhattan
1573,Kew Gardens,Queens
1574,Boerum Hill,Brooklyn
1575,Midtown,Manhattan
1576,Gramercy,Manhattan
1577,Middle Village,Queens
1578,Bushwick,Brooklyn
1579,Bedford-Stuyvesant,Brooklyn
1580,Gowanus,Brooklyn
1581,East Flatbush,Brooklyn
1582,Rockaway Beach,Queens
1583,Queens Village,Queens
1584,Bedford-Stuyvesant,Brooklyn
1585,Lower East Side,Manhattan
1586,Bergen Beach,Brooklyn
1587,Upper West Side,Manhattan
1588,Springfield Gardens,Queens
1589,Williamsbridge,Bronx
1590,Upper West Side,Manhattan
1591,Bedford-Stuyvesant,Brooklyn
1592,Flatiron District,Manhattan
1593,West Village,Manhattan
1594,Inwood,Manhattan
1595,Upper West Side,Manhattan
1596,Bedford-Stuyvesant,Brooklyn
1597,Bedford-Stuyvesant,Brooklyn
1598,Upper West Side,Manhattan
1599,Windsor Terrace,Brooklyn
1600,Nolita,Manhattan
1601,Prospect Heights,Brooklyn
1602,SoHo,Manhattan
1603,Long Island City,Queens
1604,Manhattan,Manhattan
1605,Flatbush,Brooklyn
1606,Upper East Side,Manhattan
1607,Harlem,Manhattan
1608,Williamsburg,Brooklyn
1609,Crown Heights,Brooklyn
1610,Long Island City,Queens
1611,East Village,Manhattan
1612,Mount Hope,Bronx
1613,Williamsburg,Brooklyn
1614,Springfield Gardens,Queens
1615,Mill Basin,Brooklyn
1616,Harlem,Manhattan
1617,Harlem,Manhattan
1618,Bushwick,Brooklyn
1619,Forest Hills,Queens
1620,Hell's Kitchen,Manhattan
1621,Lower East Side,Manhattan
1622,Midtown,Manhattan
1623,Woodside,Queens
1624,Greenpoint,Brooklyn
1625,Chelsea,Manhattan
1626,Fresh Meadows,Queens
1627,Flatbush,Brooklyn
1628,Ridgewood,Queens
1629,Midtown,Manhattan
1630,Riverdale,Bronx
1631,Upper East Side,Manhattan
1632,Harlem,Manhattan
1633,Bay Ridge,Brooklyn
1634,Fort Greene,Brooklyn
1635,Lower East Side,Manhattan
1636,East Harlem,Manhattan
1637,Harlem,Manhattan
1638,Long Island City,Queens
1639,Harlem,Manhattan
1640,Astoria,Queens
1641,Bushwick,Brooklyn
1642,Hell's Kitchen,Manhattan
1643,Flatlands,Brooklyn
1644,Brownsville,Brooklyn
1645,Bushwick,Brooklyn
1646,Van Nest,Bronx
1647,Schuylerville,Bronx
1648,Williamsburg,Brooklyn
1649,Bedford-Stuyvesant,Brooklyn
1650,Bushwick,Brooklyn
1651,Park Slope,Brooklyn
1652,Fordham,Bronx
1653,Midtown,Manhattan
