id,neighbourhood_cleansed,neighbourhood_group
3724,Flatbush,Brooklyn
3725,Bedford-Stuyvesant,Brooklyn
3726,Lower East Side,Manhattan
3727,East Flatbush,Brooklyn
3728,Sunnyside,Queens
3729,Bedford-Stuyvesant,Brooklyn
3730,Prospect-Lefferts Gardens,Brooklyn
3731,Bushwick,Brooklyn
3732,Edgemere,Queens
3733,Upper East Side,Manhattan
3734,Brooklyn Heights,Brooklyn
3735,Jamaica,Queens
3736,Corona,Queens
3737,Bedford-Stuyvesant,Brooklyn
3738,Rosedale,Queens
3739,Williamsburg,Brooklyn
3740,Greenpoint,Brooklyn
3741,St. Albans,Queens
3742,Claremont Village,Bronx
3743,Forest Hills,Queens
3744,Williamsburg,Brooklyn
3745,Bedford-Stuyvesant,Brooklyn
3746,Harlem,Manhattan
3747,Prospect Heights,Brooklyn
3748,Prospect Heights,Brooklyn
3749,Corona,Queens
3750,Edenwald,Bronx
3751,Upper East Side,Manhattan
3752,Bushwick,Brooklyn
3753,Williamsburg,Brooklyn
3754,Jamaica,Queens
3755,Far Rockaway,Queens
3756,Upper East Side,Manhattan
3757,Bedford-Stuyvesant,Brooklyn
3758,Prospect Heights,Brooklyn
3759,Upper East Side,Manhattan
3760,Bedford-Stuyvesant,Brooklyn
3761,Upper West Side,Manhattan
3762,East Harlem,Manhattan
3763,Midtown,Manhattan
3764,Williamsburg,Brooklyn
3765,Harlem,Manhattan
3766,Bedford-Stuyvesant,Brooklyn
3767,Rosedale,Queens
3768,Financial District,Manhattan
3769,Gravesend,Brooklyn
3770,Upper West Side,Manhattan
3771,Flatbush,Brooklyn
3772,North Riverdale,Bronx
3773,Bushwick,Brooklyn
3774,Wakefield,Bronx
3775,Upper West Side,Manhattan
3776,Upper East Side,Manhattan
3777,Long Island City,Queens
3778,Lower East Side,Manhattan
3779,Inwood,Manhattan
3780,Upper East Side,Manhattan
3781,Williamsburg,Brooklyn
3782,Greenwich Village,Manhattan
3783,Upper West Side,Manhattan
3784,Astoria,Queens
3785,Midtown,Manhattan
3786,Bedford-Stuyvesant,Brooklyn
3787,Glendale,Queens
3788,Gramercy,Manhattan
3789,Two Bridges,Manhattan
3790,Woodhaven,Queens
3791,Williamsburg,Brooklyn
3792,Long Island City,Queens
3793,Bedford-Stuyvesant,Brooklyn
3794,Nolita,Manhattan
3795,Upper East Side,Manhattan
3796,Williamsburg,Brooklyn
3797,Boerum Hill,Brooklyn
3798,Midtown,Manhattan
3799,Carroll Gardens,Brooklyn
3800,Harlem,Manhattan
3801,Harlem,Manhattan
3802,Upper East Side,Manhattan
3803,East Village,Manhattan
3804,East Flatbush,Brooklyn
3805,Bushwick,Brooklyn
3806,Bushwick,Brooklyn
3807,Clinton Hill,Brooklyn
3808,Washington Heights,Manhattan
3809,Bushwick,Brooklyn
3810,Harlem,Manhattan
3811,Midtown,Manhattan
3812,Ellis Island,Manhattan
3813,Williamsburg,Brooklyn
3814,SoHo,Manhattan
3815,Jamaica,Queens
3816,East Flatbush,Brooklyn
3817,Long Island City,Queens
3818,Harlem,Manhattan
3819,Bayswater,Queens
3820,Upper West Side,Manhattan
3821,Astoria,Queens
3822,Boerum Hill,Brooklyn
3823,Ridgewood,Queens
3824,East Elmhurst,Queens
3825,Upper West Side,Manhattan
3826,Boerum Hill,Brooklyn
3827,Maspeth,Queens
3828,SoHo,Manhattan
3829,Boerum Hill,Brooklyn
3830,Washington Heights,Manhattan
3831,Prospect Heights,Brooklyn
3832,Hell's Kitchen,Manhattan
3833,East Harlem,Manhattan
3834,Tribeca,Manhattan
3835,Inwood,Manhattan
3836,Williamsburg,Brooklyn
3837,Sunnyside,Queens
3838,Bushwick,Brooklyn
3839,Williamsburg,Brooklyn
3840,Jamaica,Queens
3841,Fort Greene,Brooklyn
3842,Woodside,Queens
3843,Williamsburg,Brooklyn
3844,Washington Heights,Manhattan
3845,East Harlem,Manhattan
3846,Chelsea,Manhattan
3847,Central Park,Manhattan
3848,East Flatbush,Brooklyn
3849,Bay Ridge,Brooklyn
3850,East Village,Manhattan
3851,Flatbush,Brooklyn
3852,Harlem,Manhattan
3853,Greenpoint,Brooklyn
3854,Astoria,Queens
3855,Flatbush,Brooklyn
3856,Flushing,Queens
3857,Williamsburg,Brooklyn
3858,Williamsburg,Brooklyn
3859,Chelsea,Manhattan
3860,Harlem,Manhattan
3861,Civic Center,Manhattan
3862,East Harlem,Manhattan
3863,Ozone Park,Queens
3864,Upper West Side,Manhattan
3865,Crown Heights,Brooklyn
3866,Bay Ridge,Brooklyn
3867,Bushwick,Brooklyn
3868,Astoria,Queens
3869,East Flatbush,Brooklyn
3870,Hell's Kitchen,Manhattan
3871,Bedford-Stuyvesant,Brooklyn
3872,Chelsea,Manhattan
3873,Harlem,Manhattan
3874,Bedford-Stuyvesant,Brooklyn
3875,Harlem,Manhattan
3876,West Village,Manhattan
3877,Downtown Brooklyn,Brooklyn
3878,Bedford-Stuyvesant,Brooklyn
3879,Hell's Kitchen,Manhattan
3880,Bedford-Stuyvesant,Brooklyn
3881,Greenpoint,Brooklyn
3882,Bedford-Stuyvesant,Brooklyn
3883,Harlem,Manhattan
3884,Sunnyside,Queens
3885,Upper West Side,Manhattan
3886,Hell's Kitchen,Manhattan
3887,Clinton Hill,Brooklyn
3888,Crown Heights,Brooklyn
3889,East New York,Brooklyn
3890,Kips Bay,Manhattan
3891,Pelham Bay Park,Bronx
3892,Tribeca,Manhattan
3893,Jackson Heights,Queens
3894,Chelsea,Manhattan
3895,Chelsea,Manhattan
3896,Far Rockaway,Queens
3897,Upper East Side,Manhattan
3898,Bedford-Stuyvesant,Brooklyn
3899,East Flatbush,Brooklyn
3900,Clinton Hill,Brooklyn
3901,Park Slope,Brooklyn
3902,Flushing,Queens
3903,Bedford-Stuyvesant,Brooklyn
3904,Richmond Hill,Queens
3905,North Riverdale,Bronx
3906,Midtown,Manhattan
